"類型","","遊憩據點","","107年1月","107年2月","107年3月","107年4月","107年5月","107年6月","107年7月","107年8月","107年9月","107年10月","107年11月","107年12月","108年1月","108年2月","108年3月","108年4月","108年5月","108年6月","108年7月","108年8月","108年9月","108年10月","108年11月","108年12月","109年1月","109年2月","109年3月","109年4月","109年5月","109年6月","109年7月","109年8月","109年9月","109年10月","109年11月","109年12月","110年1月","110年2月","110年3月","110年4月","110年5月","110年6月","110年7月","110年8月","110年9月","110年10月","110年11月","110年12月","111年1月","111年2月","111年3月","111年4月","111年5月","111年6月","111年7月","111年8月","111年9月","111年10月","111年11月","111年12月","小計"
"國家公園","National Parks","古寧頭戰史館","Guniungtou War Museum","9172","9695","15947","19961","22518","22876","25681","23927","18597","23145","15851","14804","12065","12837","15821","16654","23078","22205","22083","16205","22215","29026","24471","19415","9711","3382","2074","1107","3728","13737","25958","31860","25869","31119","17539","12089","9902","7296","11669","16280","9606","0","29","982","2153","5935","10715","9872","7612","6901","8474","10984","7019","8495","14460","17221","12441","18126","13197","10782","856573"
"國家公園","National Parks","九宮(四維)坑道","Jiougong(Sih-Wei)Tunnel","3915","4176","8137","12538","14917","13905","17636","14533","11055","14136","9920","8214","5241","5153","9952","10975","16232","17987","15498","9962","15860","24413","19631","15430","5846","2467","1419","741","1536","9639","23529","29239","28584","34569","17687","16430","8119","7668","10606","15782","9972","0","11","590","1793","4031","7808","7476","5212","4955","7180","13122","8279","9445","16774","22004","17260","24767","20368","16147","710471"
"國家公園","National Parks","八二三砲戰紀念館","Auguest 23rd Bombardment Memorial Hall","6496","7183","12731","15144","15503","14364","17852","16257","11803","17941","12294","12575","9278","8895","11922","12743","17428","16453","15218","11362","15422","25210","19718","17904","7953","3036","2446","904","2839","9785","18123","24858","21232","23104","13516","8473","7238","5557","7677","9281","5690","0","48","726","1516","3491","6584","6789","4360","4398","4528","7144","3792","4367","9008","9520","6877","8614","6300","5871","607341"
"國家公園","National Parks","湖井頭戰史館","Hujingtou Battle Museum","4750","4977","9432","13879","15806","14531","18510","15557","12619","15659","10693","9384","5774","6179","10934","11491","16674","17808","16077","10069","16500","25538","20765","16214","6291","2504","1495","831","2531","10426","24428","30882","30482","36059","18030","11943","8300","8064","11004","17083","10747","0","0","0","0","3299","11697","11675","7734","7252","9148","13847","7792","9140","17146","15484","10694","0","0","0","675828"
"國家公園","National Parks","金水學校","Jinshuei Elementary School","12497","13048","14963","23015","23719","20631","25558","27571","21753","27772","22151","22168","15526","15262","11219","11262","14460","14476","13604","10504","9241","12757","10721","7562","5521","2351","1556","1012","2298","5393","9444","10744","8936","12592","8869","5645","6236","5029","6401","7236","4659","0","46","766","1718","4611","6724","6040","5175","4525","5313","7507","4204","4933","8164","10528","8834","10294","8295","4981","608020"
"國家公園","National Parks","蔣經國先生紀念館","Chiang Ching-Kuo Memorial Hall","11108","11531","18203","20960","20089","17598","19062","20226","15306","20831","20410","22539","17775","16493","25493","24341","30926","21256","20626","19766","10431","15655","14751","13786","6007","2891","2354","634","937","4010","8487","9781","8692","9620","6513","4909","3631","2395","4887","5267","2722","0","15","241","556","1503","4317","3989","3624","2417","3751","4688","2782","3955","5774","7316","5787","6954","5421","6115","602104"
"國家公園","National Parks","民俗文化村","Shanhou Folk Cultural Village","15024","16368","25085","30789","32237","30933","32132","31906","24156","32876","26277","26536","20958","18412","31091","28019","36163","33296","31012","25449","24656","40711","35435","30464","18856","6627","4012","2599","5250","17076","32909","42236","40039","45109","26934","20216","18346","14606","20184","26720","14724","0","0","0","0","0","18012","21750","15730","13089","14388","18772","11334","17510","23606","28080","24750","30363","24355","20323","1318490"
"國家公園","National Parks","得月樓","Deyue Tower","0","0","0","0","0","0","0","0","0","0","0","0","15506","13265","13551","13182","16939","17238","15189","12187","11923","14746","12535","8297","6568","2670","1850","1231","2751","6958","10063","12446","13059","18776","12194","7722","8239","7606","9613","11178","7179","0","44","983","2303","6308","9124","7480","6939","6002","6968","10206","5594","6479","10783","12704","12025","14194","11815","7851","442463"
"國家級風景特定區","National Scenic Areas","鼻頭龍洞遊憩區","Bitou Longdong Recreation Area","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15425","15158","11148","14052","22723","54790","57393","45621","20474","26468","22503","9722","11130","25984","15351","23229","12387","0","803","15741","22025","18098","14194","11866","8092","12118","15066","17903","9741","21623","47362","38662","15418","12301","12663","5379","702613"
"國家級風景特定區","National Scenic Areas","鹽寮福隆遊憩區","Yanliao Fujong Recreation Area","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46495","50062","36458","38114","70376","163330","187017","144804","94330","119097","95849","47893","33799","48003","36244","54553","30782","2174","6291","21484","56314","80701","46704","24747","10149","14235","21717","22523","12009","54759","88559","72472","44128","36791","19360","20541","1952864"
"國家級風景特定區","National Scenic Areas","大里外澳遊憩區","Dali Waiao Recreation Area","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","139478","97702","62011","49810","49868","153632","185877","168998","139611","148363","409651","84852","60794","97865","71305","124821","43791","500","4118","22466","75316","130099","190799","101840","85464","96998","90174","88211","40420","61832","122382","142811","120983","117855","246444","107030","3934171"
"國家級風景特定區","National Scenic Areas","宜蘭濱海遊憩區","Yilan Ocean Recreation Area","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15425","23228","18001","7504","12656","17332","19930","25623","22677","27972","24374","15947","18308","25394","17441","22254","8433","0","368","724","1599","2322","11963","17323","16858","21263","19791","17620","11580","15609","23305","21770","20412","23109","18839","20018","586972"
"國家級風景特定區","National Scenic Areas","小野柳(加路蘭)","Jialulan","16787","26046","36121","62523","31473","32438","50428","46807","35571","39609","39572","67228","42096","114592","53819","55585","18392","56778","65771","51654","47709","76751","40976","40877","91235","54720","18517","30717","22311","55246","59251","105167","89536","127121","73314","43158","68694","101445","42131","96832","30376","0","9573","26072","38941","45814","71975","77116","55151","86379","49453","53632","22817","30967","62616","65953","48044","42303","57321","41513","3145014"
"國家級風景特定區","National Scenic Areas","三仙臺","Sansiantai","35508","45443","36136","48227","32009","33613","62804","60210","32762","39387","36509","56511","41887","60290","45667","45727","37957","41524","64872","52134","40093","56200","45216","40454","57901","46781","24817","23767","24312","47576","76932","99761","58029","74002","45560","33488","33876","54477","29355","33924","14687","0","4160","20490","18922","29348","32785","32054","31483","52524","27847","30859","13353","26467","65634","58366","28138","21705","20105","22798","2407423"
"國家級風景特定區","National Scenic Areas","八仙洞","Basian Cave","6804","11446","6412","9124","6333","6768","10231","9854","5924","6542","6183","11909","9103","11909","14631","13833","11626","10271","11551","9482","11625","11476","8815","6124","14833","7692","3774","3981","4942","10788","18211","16908","12798","16205","9088","5045","4358","10315","4693","7191","2313","0","1311","5760","4383","4704","5502","4881","4840","8283","3165","4007","1929","4430","9290","6508","3850","2852","3202","2981","462989"
"國家級風景特定區","National Scenic Areas","秀姑巒溪遊客中心","Siouguluan River","13853","11182","12494","15795","16308","19396","26969","25079","17969","16119","13185","16230","14150","13621","15319","15052","13856","18729","24300","19043","19355","19001","14394","12615","13843","11721","8533","7858","8273","19395","37666","43189","24635","23177","14539","7300","11831","13457","12905","14545","7585","0","173","6603","11291","13032","12065","11986","9653","11393","10795","11389","5866","12363","27361","26091","16509","11080","8010","8828","898954"
"國家級風景特定區","National Scenic Areas","綠島","Lyudao（Green Island）","5872","10210","13213","42587","39920","43395","62794","51393","26671","21745","11525","10294","6944","15082","15220","35499","38070","52841","66709","35395","36840","28644","9990","6231","12699","8075","9832","12902","15369","38439","77681","74009","54351","40145","6858","4676","6145","12601","14964","34133","19655","937","2272","8139","18976","20512","9430","7614","6147","11301","14914","32961","17392","33598","63360","62733","40228","21063","9491","6106","1516792"
"國家級風景特定區","National Scenic Areas","都歷處本部","East Coast National Scenic Area Administration Headquarters","5718","9215","7378","9292","6141","9881","15852","12263","0","0","0","0","0","0","0","0","0","0","13899","9857","8124","8239","6457","7568","39752","34824","30305","45750","19822","33319","43726","63560","81669","86298","66868","39662","51589","39895","31614","37276","22254","0","4967","8470","21679","32415","17053","25747","20461","18940","13884","13910","10628","13529","39907","26338","28034","17560","25500","25678","1262767"
"國家級風景特定區","National Scenic Areas","石梯坪","Shihtiping","24490","20489","21872","30864","23204","22266","29394","31647","18735","21001","20058","27983","20022","31159","31386","30868","29015","24672","27764","24058","15766","21196","17148","16166","19647","13699","8704","8611","10066","18317","28324","32040","23137","31912","23349","8117","13340","20755","13509","14326","6877","0","2567","10575","8972","11226","14893","13865","7227","13400","8598","9126","4311","8330","14836","14464","10719","10833","9246","10993","1060134"
"國家級風景特定區","National Scenic Areas","花蓮管理站遊客中心","Hualien Ranger Station Visitor Center","3835","3752","3441","5837","3732","4549","4189","3922","3968","3726","3590","4540","4464","5873","4652","4249","4481","3905","4328","3941","3362","3366","2744","2632","7001","6973","4651","5004","3253","4074","6144","7279","4738","9361","7253","5055","9310","8989","6188","8600","4354","0","1524","6473","8336","4772","8017","3601","3841","5897","4498","5268","3494","3843","6368","8310","5436","5139","4169","4905","299196"
"國家級風景特定區","National Scenic Areas","澎湖遊客中心","Penghu Visitor Center","3578","2373","6438","13280","16745","10584","9383","7018","6458","5470","2089","1782","2975","3103","8364","11838","17468","13632","9443","7107","9761","10724","6333","7902","4656","2389","3466","2430","3549","7272","13076","12130","10301","11424","5010","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","458","8608","6783","5715","6614","10202","10284","8413","5267","4387","336282"
"國家級風景特定區","National Scenic Areas","南海遊客中心","South Sea Visitor Center","6821","6846","15231","55439","80861","65228","68398","52295","33178","21816","11286","6508","8426","9097","17290","61877","90691","94673","73152","43239","44699","27549","9309","8114","9986","8311","11343","11794","20953","54316","117782","104243","69550","27967","9755","7381","6868","9435","19460","71086","53614","5526","7352","14693","21541","16911","9820","7751","7652","6401","18048","44998","48425","70690","73143","63944","50286","22561","13732","7248","2036589"
"國家級風景特定區","National Scenic Areas","北海遊客中心","North Sea Visitor Center","2199","3608","3836","31176","37345","46496","43392","38516","20829","9022","3377","2419","2643","3092","4202","20956","33806","48374","45444","29127","20535","7808","2732","2530","3166","2725","3445","3448","5519","18237","54009","56575","21728","6598","1889","2288","2526","2521","3273","16309","16676","1644","2937","4737","5702","4368","3460","2397","2773","1967","3292","13306","15895","28765","34389","33827","16967","5594","3049","2269","871734"
"國家級風景特定區","National Scenic Areas","西嶼西臺","Siyu Western Fort","634","492","2160","7806","8152","6784","7026","5621","4118","2983","934","976","901","501","2636","6347","8196","6893","7740","4743","5463","3243","1841","989","546","573","773","822","1480","4199","9717","9884","5320","4876","1550","641","612","389","1834","4889","2769","0","20","491","1062","786","697","433","353","223","1030","2575","2267","2118","2735","2546","1904","1559","709","361","169922"
"國家級風景特定區","National Scenic Areas","小門遊憩區","Siaomen Recreation area","5127","6167","9626","39850","54134","56230","59520","44485","31900","23300","8600","5695","6650","7540","11650","48180","64420","65360","64660","43780","35750","28940","13670","7150","6430","5650","6800","6110","15300","35850","77730","83450","39020","33650","11880","5605","8948","23445","13022","25624","19288","0","734","4842","9857","9451","6870","4911","8025","12431","12654","18882","21389","31429","43385","40691","29265","23278","9877","6453","1454610"
"國家級風景特定區","National Scenic Areas","綠蠵龜觀光保育中心","Green Turtle Tourism and Conservation Center","0","0","480","4994","9874","8591","10634","7596","2750","1144","151","25","0","0","0","2790","6474","9931","8644","5119","3603","1833","85","5","86","108","353","513","1134","3599","9940","9551","3576","1563","126","37","56","109","281","2532","2736","0","0","506","1147","562","219","22","32","43","419","1933","2881","4328","4784","4208","2040","883","131","24","145185"
